epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,747.257,0.85069,0.51187,1.19324,0.97042,0.97321,0.98933,0.81961,0.78901,0.29834,1.1788,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1486,0.84907,0.515,1.19128,0.97149,0.9759,0.98765,0.81981,0.78574,0.29928,1.17344,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2224.77,0.84711,0.51194,1.19443,0.96834,0.97642,0.98853,0.82185,0.7856,0.29502,1.17124,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2964.21,0.84675,0.51257,1.19374,0.96547,0.97669,0.98933,0.82201,0.78146,0.29326,1.16814,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3704.08,0.83997,0.50976,1.18677,0.9646,0.97804,0.99033,0.82178,0.77687,0.29013,1.16444,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4443.83,0.84335,0.50838,1.18973,0.96338,0.97774,0.99027,0.82319,0.77485,0.28976,1.16328,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5182.35,0.83946,0.50843,1.18841,0.96115,0.97888,0.98978,0.82369,0.7746,0.29089,1.16342,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5921.67,0.83692,0.50084,1.18765,0.96326,0.97857,0.99041,0.8235,0.77508,0.29009,1.16329,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6660.47,0.83164,0.4916,1.18605,0.96193,0.9785,0.99045,0.8252,0.77465,0.28894,1.16333,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7398.46,0.82578,0.48972,1.17859,0.96385,0.97801,0.99057,0.82668,0.77429,0.2856,1.16158,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8137.51,0.82262,0.48733,1.17655,0.96892,0.97811,0.99082,0.82454,0.7743,0.28548,1.16177,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8875.54,0.81383,0.47757,1.17033,0.969,0.9782,0.99079,0.82404,0.77398,0.28522,1.16093,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9613.87,0.81188,0.47682,1.17213,0.97029,0.9778,0.99028,0.82251,0.77365,0.28567,1.16031,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10353.3,0.81154,0.47704,1.17139,0.97137,0.97808,0.99,0.82259,0.77259,0.28741,1.15927,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11092.1,0.81164,0.47609,1.17129,0.97259,0.9776,0.98982,0.82372,0.7732,0.28651,1.15932,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11832.3,0.80773,0.47338,1.16963,0.96892,0.97696,0.98957,0.8238,0.7741,0.28465,1.15931,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12571.4,0.81485,0.47231,1.17598,0.97088,0.97738,0.98998,0.82419,0.77435,0.28497,1.15944,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13310.4,0.82034,0.4818,1.17764,0.9702,0.97744,0.99006,0.82589,0.77478,0.28399,1.15983,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,14049.3,0.82375,0.47667,1.18053,0.96977,0.97696,0.98962,0.82525,0.77512,0.28401,1.16051,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14788.7,0.81826,0.47601,1.17466,0.971,0.97774,0.9892,0.82394,0.77431,0.2828,1.16006,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15527.3,0.81701,0.4723,1.17719,0.9715,0.97757,0.98881,0.82416,0.77471,0.28207,1.16016,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16266.1,0.81028,0.46466,1.16906,0.97049,0.97751,0.98814,0.82469,0.77418,0.28107,1.15955,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,17004.9,0.80769,0.46114,1.16612,0.97038,0.97756,0.98812,0.82386,0.77412,0.27992,1.15924,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,17744.3,0.80606,0.45808,1.16515,0.96948,0.97776,0.9881,0.82401,0.77394,0.27981,1.15886,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18483.8,0.81041,0.46011,1.16806,0.97019,0.97784,0.9883,0.82433,0.77309,0.2793,1.15793,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,19223,0.80735,0.46086,1.16736,0.97102,0.97776,0.98843,0.82498,0.77324,0.2795,1.15802,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,19963,0.80286,0.45763,1.16632,0.97137,0.97763,0.98859,0.82451,0.77317,0.27924,1.1578,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,20702.2,0.80149,0.45015,1.16302,0.97017,0.97723,0.98873,0.82493,0.77294,0.27955,1.15751,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
